State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
Alabama,12.9381,2.82,1371,25,72542
Alaska,13.4505,3.4,102,0,16484
Arizona,15.5428,3.36,4679,164,79088
Arkansas,16.226,2.06,86,0,26658
California,15.9698,1.96,52528,2159,546833
Colorado,15.3293,2.12,16176,400,54672
Connecticut,17.1654,1.52,15549,719,63175
Delaware,14.8169,2.1,2798,17,11930
Florida,15.7136,3.14,36421,0,456082
Georgia,15.4574,3.9,7760,132,446639
Hawaii,15.799,1.16,0,0,30102
Idaho,14.2191,2.38,4,9,13762
Illinois,15.6282,3,40286,1102,149044
Indiana,16.1406,2.38,5204,15,78908
Iowa,12.0414,1.08,5597,0,41687
Kansas,13.8775,3.12,4653,15,31695
Kentucky,15.5428,2.12,1207,7,151261
Louisiana,16.6103,2.58,0,94,96484
Maine,14.6461,2.38,46,0,12667
Maryland,14.0483,1.28,12972,257,99159
Massachusetts,17.3362,1.08,26081,671,105715
Michigan,16.8238,1.78,5112,177,126186
Minnesota,13.8348,1.2,2148,27,78462
Mississippi,14.7315,4.38,0,0,48684
Missouri,15.0304,3.58,1468,17,89574
Montana,11.6571,1.94,24,0,9231
Nebraska,12.2122,2.18,0,0,12671
Nevada,14.8596,3.1,0,0,56054
New Hampshire,14.8596,1.96,0,0,23197
New Jersey,16.0552,1.72,0,3093,149035
New Mexico,14.7742,2,2507,0,22297
New York,17.6778,1.8,0,998,374609
North Carolina,14.7742,2.32,3921,29,152940
North Dakota,11.8279,1.5,0,0,7913
Ohio,14.9877,2.44,2426,47,123996
Oklahoma,14.5607,4.02,0,0,133133
Oregon,15.7136,1.64,2294,0,83793
Pennsylvania,14.9877,1.46,0,0,115117
Rhode Island,14.6888,1.1,13441,116,17372
South Carolina,14.2191,3.08,831,0,90371
South Dakota,10.9312,2.14,472,0,8559
Tennessee,14.2618,3.48,3394,24,66830
Texas,14.9023,4.88,6756,233,413494
Utah,14.8169,2.06,6107,0,17055
Vermont,14.4753,2.16,70,1,7316
Virginia,14.3899,1.58,4369,39,113043
Washington,14.945,1.48,8139,161,209503
West Virginia,14.6461,2.16,0,0,28597
Wisconsin,13.2797,1.86,5896,70,75901
Wyoming,13.237,3.28,174,0,5766
Alabama,12.3318,2.6703,1360,17,22207
Alaska,14.3871,2.2356,67,0,6663
Arizona,15.4752,2.7738,3463,142,27226
Arkansas,13.299,2.0286,191,0,10534
California,13.8632,2.6289,41858,1698,195899
Colorado,12.9766,2.3598,13438,328,17480
Connecticut,14.508,1.52,10907,496,24003
Delaware,12.7348,1.8423,3033,21,4608
Florida,13.5408,3.0429,24236,687,192208
Georgia,13.8229,3.4362,6456,96,180216
Hawaii,10.9213,1.16,0,0,9983
Idaho,11.7676,2.5254,651,8,4969
Illinois,16.8454,2.8359,38079,1011,62336
Indiana,14.0647,2.0907,4720,36,25330
Iowa,10.5183,1.08,5328,30,11947
Kansas,11.284,3.7467,4618,18,10059
Kentucky,15.1931,1.0971,1121,8,50011
Louisiana,17.2484,2.5461,0,72,29430
Maine,13.2587,2.1735,64,0,4416
Maryland,13.9438,1.28,12080,200,34719
Massachusetts,12.493,1.08,21265,531,35828
Michigan,13.4602,1.863,4608,176,47949
Minnesota,10.9616,0.9729,2778,20,28527
Mississippi,19.5052,4.6782,504,5,20511
Missouri,16.6439,4.4505,1235,24,25452
Montana,11.1228,1.4283,16,0,3181
Nebraska,13.4602,2.1114,0,0,5229
Nevada,15.3543,2.4012,0,0,16917
New Hampshire,14.105,2.7117,0,0,8061
New Jersey,15.9588,2.2563,0,2571,48023
New Mexico,16.0394,0.9729,1927,0,6591
New York,14.8707,1.7388,0,7333,183833
North Carolina,11.3243,3.1257,4286,37,44686
North Dakota,11.5258,2.1942,0,0,2302
Ohio,13.2184,2.44,2349,35,42479
Oklahoma,12.493,4.3056,1178,10,31080
Oregon,12.0497,2.3184,1594,14,24632
Pennsylvania,12.896,2.0079,0,0,39417
Rhode Island,13.6214,0.3519,8492,88,4341
South Carolina,13.3393,2.0079,868,0,27039
South Dakota,12.0094,2.14,1115,0,3926
Tennessee,13.9841,3.4776,3084,16,24157
Texas,14.4677,4.8024,10124,215,118122
Utah,12.2512,1.9251,4434,0,5702
Vermont,14.3871,2.16,40,1,2191
Virginia,12.3318,1.8009,11439,95,41502
Washington,14.105,1.3455,6897,140,107550
West Virginia,15.717,2.7531,0,0,4745
Wisconsin,11.9691,1.86,5609,62,29999
Wyoming,11.2437,2.5875,129,0,2400
Alabama,10.2564,3.9245,1764,19,22744
Alaska,13.3089,3.1255,75,0,6811
Arizona,13.0647,4.512,4705,192,25211
Arkansas,14.3264,2.5615,492,3,9537
California,15.7916,3.1255,53719,2121,191868
Colorado,13.4717,2.632,14637,402,14474
Connecticut,13.7973,1.598,12657,558,18241
Delaware,12.9426,2.115,3966,39,4374
Florida,13.6345,4.1595,28525,824,171778
Georgia,13.6752,4.1125,7734,109,147099
Hawaii,11.8437,1.551,0,0,8616
Idaho,11.2332,2.6555,789,8,4512
Illinois,14.3264,2.444,51022,1390,56161
Indiana,15.1811,2.585,5725,48,23554
Iowa,9.6866,1.504,6864,33,11048
Kansas,12.6577,3.525,5992,23,9630
Kentucky,14.4485,1.41,1396,13,43311
Louisiana,13.9194,2.1855,0,80,22503
Maine,13.9194,2.35,88,0,9168
Maryland,13.3089,2.7495,16390,287,29740
Massachusetts,13.024,1.9505,27237,682,33007
